학원명,주    소,총부지면적(㎡),교육생정원(명)
광연,서울 강남구 헌릉로 733,"12,771",405
성산,서울 마포구 성암로13길 64,"17,351",952
삼일,서울 강남구 헌릉로 736,"13,586",578
창동,서울 도봉구 도봉로136다길 4,"17,914",416
녹천,서울 노원구 마들로5길 91,"8,232",630
사당,서울 서초구 과천대로 904-6,"11,013",640
서울,서울 강서구 남부순환로 222,"10,491",616
동아,서울 광진구 광나루로 458,"30,759","1,095"
온수역,서울 구로구 부일로1가길 18-44,"8,383",432
중랑,서울 중랑구 상봉로 117,"6,905",416
양재,서울 서초구 남부순환로342길 62-26,"8,389",476
노원,서울 노원구 한글비석로 322,"19,448",966
신도림,서울 구로구 신도림로19길 68,"17,195","1,024"
남영,부산 사하구 을숙도대로 709,"8,490",294
대우,부산 사상구 학감대로192번길 1,"8,346",126
서부산,부산 사하구 낙동대로563번안길 2,"6,923",182
기장아세아,부산 기장군 정관면 곰내길 603-33,"6,715",154
영도,부산 영도구 조내기로 68,"6,806",98
현대,부산 금정구 청룡예전로 16,"7,579",168
쌍용,부산 영도구 와치로 83,"6,828",72
흥국,부산 해운대구 양운로37번길 28,"8,409",98
대성,부산 사상구 사상로367번길 42,"6,637",182
수영,부산 수영구 좌수영로210번길 24,"9,963",500
동일,부산 동래구 수안로 58,"7,555",252
서면,부산 부산진구 진남로356번길 56-11,"6,885",255
금사,부산 금정구 공단서로8번길 49,"6,700",120
명진,부산 해운대구 센텀남대로 20,"11,454",176
영동,부산 부산진구 백양관문로 60,"14,390",322
학장,부산 사상구 장인로 59,"11,187",176
동호,부산 부산진구 황령대로17번길 30,"6,713",224
구포북부,부산 북구 구남로15번길 25,"6,661",154
(주)성당,대구 달서구 와룡로33길 51,"7,114",464
(주)대경,대구 수성구 달구벌대로659길 31,"7,178",392
고려,대구 달서구 상화로 116,"12,914",640
대한,대구 동구 신평로 146,"14,128",310
부경,대구 북구 칠곡중앙대로 243,"7,723",162
(주)청구,대구 북구 검단로 166,"8,972",257
남대구,대구 달성군 현풍면 비슬로 738,"15,360",214
(주)안전,대구 북구 복현로8길 35,"8,817",360
푸른,대구 달성군 다사읍 서재로12길 53,"16,272",188
삼우동서,대구 수성구 달구벌대로 3289-7,"8,741",378
동양,대구 북구 매천로2길 58-52,"20,246",560
일신,인천 부평구 무네미로 521,"7,779",437
주신,인천 남구 노적산로 66-36,"14,060",620
인천,인천 남구 매소홀로271번길 7,"8,252",200
기아,인천 중구 서해대로 261,"13,897",340
효성,인천 계양구 새풀로8번길 14,"11,219",592
대우,인천 서구 호두산로 18,"11,107",532
시엘,인천 남구 소성로 34,"11,434",525
한성,인천 서구 중봉대로 266,"12,549",742
강화,인천 강화군 선원면 강화동로 984,"10,197",70
연세,인천 계양구 장제로 988,"8,833",258
오렌지,인천 중구 서해대로 272,"11,880",432
동아,인천 남동구 청능대로534번길 39,"8,841",908
거성,인천 계양구 봉오대로894번길 33-12,"10,650",833
성도,인천 계양구 아나지로 480,"9,914",246
서울신진,인천 계양구 아나지로551번길 15-1,"9,812",252
세영,인천 서구 당하 산61-5,"9,450",243
한양,인천 계양구 장제로 988,"11,451",398
인기,인천 남동구 논현고잔로88번길 19,"7,099",748
신진,인천 서구 드림로 285,"13,036",297
금호,광주 광산구 임방울대로 612,"17,882",234
신진,광주 동구 소태길 78,"9,284",182
(주)기아,광주 광산구 하남대로 127-30,"6,726",140
(주)제일,광주 광산구 풍영정길 241-17,"7,140",196
양동상무,광주 광산구 대산로 275,"38,160",90
한국,광주 남구 서문대로 541,"7,438",160
대우,광주 광산구 하남지실길 46,"8,287",294
용성,광주 광산구 양동길 50-8,"15,362",165
일곡금호,광주 북구 모룡대길 26,"12,483",240
(주)동신,광주 북구 서방로81번길 27,"13,620",576
OK,광주 남구 송암로130번길 7,"22,008",224
(주)영진,광주 광산구 목련로 372-3,"9,000",140
광주중앙(주),광주 북구 동문대로 287,"9,564",225
대성,광주 북구 동운로32번길 20,"8,618",154
상무,광주 서구 하남대로550번길 19-27,"9,185",240
(주)문화,대전 동구 용운로151번길 85,"7,533",182
삼성,대전 서구 구봉로 456,"17,194",336
(주)향우,대전 서구 변동로 36,"6,619",288
(주)흥일,대전 동구 산서로1660번길 24,"11,888",289
대성,대전 중구 유등천동로 792,"9,575",308
신탄,대전 대덕구 신탄진로738번길 121,"8,676",210
효성,대전 서구 벌곡로1384번길 38,"9,360",308
안양,경기 안양시 만안구 안양로 599,"6,546",255
수원현대,경기 수원시 영통구 중부대로 452,"10,793",280
신삼성,경기 오산 내삼미 275-1,"25,850",210
평택삼성,경기 평택시 노루댕이1길 18-5,"11,547",176
