LICN_EXM_CODE,LICN_EXM_NAME,CITY_CODE,POST_NO1,POST_NO2,EXM_ADDR,TEL_NO,FAX_NO,URL_ADDR,SUBJ_LMT_DAY,FUNC_LMT_DAY,ROAD_LMT_DAY,RES_START_TIME_1,RES_START_TIME_2,RES_START_TIME_3,EXM_SAT_1,EXM_SUN_1,EXM_SAT_2,EXM_SUN_2,EXM_SAT_3,EXM_SUN_3,EXM_SAT_4,EXM_SUN_4,ENTRY_PLACE,ENTRY_DATE,ENTRY_TIME,ENTRY_NAME,UPDATE_PLACE,UPDATE_DATE,UPDATE_TIME,FUNC_06,ROAD_06,SUBJ_IPSIL,FUNC_IPSIL,ROAD_IPSIL,OFFLINE_APPLY_MIN,TRFC_EDU_CAPA_GNRL,TRFC_EDU_CAPA_TWO,TEL_NO_WANTED,FUNC_J0
0,본부,11,45,80,서울시 중구 왕십리로 407(신당5동171),222306114,2111111,,3,3,3,1300,1300,1300,0,0,0,0,0,0,0,0,,,,,0,20150803,917,0,0,,,,0,0,0,,0
8,서   부,11,39,6,서울시 마포구 월드컵로42길 13 (상암동),23003500,23003535,,0,0,0,1140,1140,1140,0,0,1,0,0,0,0,0,8,,,,8,20180702,1633,1,1,,,,0,150,150,,1
9,도   봉,11,16,88,서울특별시 노원구 동일로 1449,220920100,29347000,,0,0,0,1130,1130,1130,0,0,0,0,0,0,0,0,9,20011113,1204,CONV,9,20161220,1609,0,0,,,,10,300,100,,1
10,강   남,11,61,75,서울특별시 강남구 테헤란로 114길 23,221937601,25616029,,0,0,0,1130,1130,1130,0,0,1,0,0,0,0,0,10,20011112,1926,CONV,10,20180305,1737,1,1,,,,10,230,230,,1
11,강   서,11,76,44,서울특별시 강서구 남부순환로 171,226692900,226669036,,0,0,0,1130,1130,1130,0,0,1,0,0,0,0,0,11,20011113,1205,CONV,11,20190207,921,1,1,,,,30,135,135,,1
12,부산북부,12,469,46,부산광역시 사상구 사상로 367번길 35,513107600,513027440,,0,0,0,1120,1120,1120,0,0,0,0,0,0,1,0,12,20011113,1209,CONV,12,20150827,1130,0,0,,,,60,120,120,,1
13,인   천,23,216,89,인천광역시 남동구 아암대로 1247,328102300,328225118,,0,0,0,1130,1130,1130,0,0,0,0,0,0,0,0,13,20011113,1209,CONV,13,20171221,1726,0,1,,,,60,125,10,,1
14,춘   천,14,242,3,강원도 춘천시 신북읍 신북로 247,332691200,332414800,http://www.koroad.or,0,0,0,1140,1140,1140,0,0,0,0,0,0,0,0,14,20011113,1206,CONV,14,20171221,1730,0,0,,,,30,60,60,,0
15,청   주,15,282,5,충청북도 청주시 상당구 가덕면 교육원로 131-20,432900900,432985806,,0,0,0,1140,1140,1140,0,0,1,0,0,0,0,0,15,20011113,1206,CONV,15,20180730,1428,0,0,,,,30,200,150,,1
16,대   전,25,347,11,대전광역시 동구 산서로 1660번길 90 ( 대별동 364-2 ),422503303,422724783,,0,0,0,1140,1140,1140,0,0,0,0,0,0,0,0,16,20011113,1206,CONV,16,20160521,931,1,1,,,,0,150,100,,1
